episode,num_iters,sum_rewards,curr_eps,time
523,1105,-20,0.454871,27952.904376
524,1096,-21,0.453884,28008.647464
525,1102,-21,0.452893,28070.191531
526,1101,-21,0.451902,28133.437688
527,1195,-20,0.450826,28193.676354
528,1090,-21,0.449845,28249.500245
529,1178,-21,0.448785,28301.384116
530,1064,-21,0.447827,28359.167706
531,1123,-21,0.446817,28418.973067
532,1101,-21,0.445826,28475.352761
533,1179,-21,0.444765,28537.325606
534,1091,-21,0.443783,28589.225756
535,1098,-21,0.442795,28646.621599
536,1123,-20,0.441784,28709.450769
537,1091,-21,0.440802,28767.766673
538,1098,-21,0.439814,28821.858861
539,1105,-21,0.438819,28879.870981
540,1118,-21,0.437813,28938.041030
541,1103,-21,0.436820,28996.109041
542,1181,-21,0.435758,29056.603100
543,1094,-21,0.434773,29108.700949
544,1204,-21,0.433689,29172.680071
545,1179,-21,0.432628,29238.307114
546,1095,-21,0.431643,29299.184680
547,1092,-21,0.430660,29350.945740
548,1088,-21,0.429681,29404.998128
549,1120,-21,0.428673,29460.967867
550,1050,-21,0.427728,29519.084335
551,1095,-21,0.426742,29574.297957
552,1098,-21,0.425754,29632.313267
553,1068,-21,0.424793,29689.334778
554,1083,-21,0.423818,29746.204848
555,1182,-21,0.422754,29800.868416
556,1071,-21,0.421790,29852.758128
557,1039,-21,0.420855,29899.829417
558,1106,-21,0.419860,29958.517761
559,1203,-21,0.418777,30024.806412
560,1125,-21,0.417765,30086.308919
561,1059,-21,0.416812,30141.312202
562,1114,-21,0.415809,30197.010933
563,1111,-21,0.414809,30257.844005
564,1104,-21,0.413816,30316.911149
565,1210,-21,0.412727,30387.084050
566,1093,-21,0.411743,30442.966468
567,1097,-21,0.410756,30499.811933
568,1045,-21,0.409815,30554.351988
569,1106,-21,0.408820,30613.952992
570,1137,-21,0.407796,30674.591132
571,1125,-20,0.406784,30733.203350
572,1135,-20,0.405762,30797.008940
573,1045,-21,0.404822,30851.196123
574,1130,-21,0.403805,30907.384562
575,1298,-20,0.402637,30972.145090
576,1072,-21,0.401672,31028.497803
577,1060,-21,0.400718,31082.704019
578,1118,-21,0.399712,31140.640953
579,1066,-21,0.398752,31192.137875
580,1102,-21,0.397760,31248.038821
581,1120,-21,0.396752,31310.466066
582,1192,-21,0.395680,31373.343705
583,1099,-21,0.394691,31433.337371
584,1095,-21,0.393705,31491.665960
585,1120,-20,0.392697,31555.373268
586,1230,-20,0.391590,31623.339200
587,1132,-20,0.390571,31687.666061
588,1130,-21,0.389554,31753.189376
589,1091,-21,0.388572,31806.933271
590,1098,-21,0.387584,31865.311807
591,1135,-21,0.386563,31920.609908
592,1028,-21,0.385637,31966.381284
593,1092,-21,0.384655,32020.206699
594,1139,-21,0.383630,32088.737411
595,1241,-20,0.382513,32157.894314
596,1175,-21,0.381455,32222.705667
597,1096,-21,0.380469,32282.344261
598,1119,-20,0.379462,32341.041513
599,1095,-21,0.378476,32405.607709
600,1097,-21,0.377489,32461.037988
601,1138,-21,0.376465,32522.882640
602,1176,-21,0.375406,32588.006332
