episode,num_iters,loss,sum_rewards,curr_eps,debug_param,time
229,1052,0.012420,-21,0.746040,3289414,43831.774088
230,1221,0.013364,-20,0.744941,3302109,43999.815988
231,1180,0.012227,-21,0.743879,3314058,44160.108758
232,1123,0.011197,-20,0.742868,3326584,44330.883941
233,1397,0.011943,-19,0.741611,3340697,44518.573747
234,1236,0.013914,-20,0.740498,3355878,44722.037235
235,1288,0.012993,-20,0.739339,3370097,44916.591765
236,1128,0.009978,-21,0.738324,3382195,45078.711148
237,1606,0.011800,-19,0.736879,3399947,45318.519940
238,1561,0.012983,-18,0.735474,3417811,45561.336610
239,1374,0.012682,-19,0.734237,3433257,45772.427319
240,1125,0.014281,-21,0.733225,3444119,45920.410538
241,1283,0.014493,-19,0.732070,3458529,46118.909833
242,1160,0.015277,-21,0.731026,3472201,46302.084618
243,1118,0.011535,-20,0.730020,3485450,46484.568137
244,1247,0.010390,-21,0.728897,3498046,46654.645454
245,1229,0.012439,-20,0.727791,3512390,46847.749232
246,1122,0.011250,-21,0.726782,3525031,47014.740072
247,1248,0.010914,-20,0.725658,3539774,47215.919634
248,1438,0.011034,-21,0.724364,3555682,47431.762418
249,1197,0.015045,-20,0.723287,3568556,47609.794100
250,1330,0.011241,-21,0.722090,3583525,47814.447105
251,1342,0.014034,-19,0.720882,3597729,48004.897167
252,1252,0.012211,-20,0.719755,3612003,48198.455308
253,1186,0.014225,-21,0.718688,3624884,48370.531226
254,1282,0.013107,-20,0.717534,3639539,48563.873456
255,1211,0.009681,-20,0.716444,3654555,48764.321636
256,1026,0.012527,-21,0.715521,3665698,48912.542040
257,1320,0.012422,-20,0.714333,3681364,49120.749110
258,1119,0.013933,-20,0.713326,3693105,49276.049610
259,1255,0.012786,-21,0.712196,3706856,49463.297872
260,1110,0.012245,-21,0.711197,3718803,49624.405456
261,1285,0.013843,-20,0.710041,3732350,49800.443944
262,1191,0.015111,-20,0.708969,3745892,49980.690933
263,1294,0.012089,-20,0.707804,3761109,50188.143312
264,1279,0.009921,-20,0.706653,3776282,50390.689290
265,1144,0.011477,-21,0.705623,3790744,50580.535616
266,1095,0.012093,-21,0.704638,3803399,50749.020085
267,1037,0.010343,-21,0.703705,3816071,50922.385550
268,1083,0.010215,-21,0.702730,3828619,51092.399564
269,1294,0.012742,-19,0.701565,3842701,51277.214799
270,1097,0.011844,-21,0.700578,3855220,51445.935149
271,1033,0.010282,-21,0.699648,3866938,51601.002605
272,1052,0.012649,-21,0.698702,3878374,51754.414567
273,1297,0.013932,-20,0.697534,3893600,51953.458726
274,1365,0.010585,-20,0.696306,3909695,52166.544368
275,1100,0.012561,-21,0.695316,3921790,52326.429897
276,1056,0.011341,-21,0.694365,3932877,52472.828739
277,1395,0.012349,-21,0.693110,3948127,52680.451372
278,1196,0.011548,-21,0.692033,3962500,52874.298904
279,1094,0.010605,-21,0.691049,3975668,53049.357573
280,1125,0.014219,-21,0.690036,3988962,53227.841360
281,1416,0.014029,-19,0.688762,4005221,53444.431793
282,1123,0.012291,-20,0.687751,4018584,53621.369625
283,1003,0.009679,-21,0.686849,4029440,53769.123155
284,1178,0.011489,-21,0.685788,4042152,53934.804009
285,1174,0.012556,-20,0.684732,4056386,54127.324738
286,1223,0.017138,-20,0.683631,4070319,54316.109040
287,1093,0.012874,-21,0.682647,4082188,54478.169965
288,1362,0.013835,-20,0.681422,4098052,54691.468919
289,1330,0.012298,-19,0.680225,4112861,54887.526272
290,1118,0.011648,-21,0.679218,4126220,55065.071446
291,1315,0.010628,-20,0.678035,4140513,55263.642466
292,1187,0.011906,-20,0.676967,4153725,55441.432131
293,1292,0.012817,-20,0.675804,4168845,55643.595272
294,1099,0.011455,-21,0.674815,4181085,55808.136223
295,1281,0.011617,-20,0.673662,4194700,55990.053260
296,1106,0.009403,-21,0.672666,4208032,56169.547380
297,1246,0.013022,-20,0.671545,4222917,56372.539985
298,1234,0.013891,-20,0.670434,4237645,56574.023389
299,1115,0.008716,-21,0.669431,4250328,56746.993507
300,1239,0.013489,-21,0.668316,4264780,56943.470628
301,1361,0.015108,-19,0.667091,4280838,57163.629809
302,1042,0.010821,-21,0.666153,4292468,57320.116114
303,1732,0.012479,-19,0.664594,4311719,57578.140102
304,1332,0.013604,-19,0.663396,4326159,57770.553464
305,1225,0.012956,-21,0.662293,4340096,57959.074576
306,1328,0.011723,-20,0.661098,4355466,58161.259081
307,1233,0.010517,-20,0.659988,4369320,58343.998811
308,1058,0.012070,-21,0.659036,4381532,58506.812037
309,1241,0.011014,-20,0.657919,4395141,58692.092947
310,1140,0.016005,-21,0.656893,4408826,58876.592459
311,1261,0.016022,-20,0.655758,4423760,59077.855271
312,1230,0.014797,-20,0.654651,4437978,59264.290862
313,1368,0.012489,-20,0.653420,4453063,59466.902179
314,1554,0.013024,-18,0.652021,4470208,59694.824116
315,1230,0.017021,-21,0.650914,4484120,59885.720162
316,1092,0.011414,-21,0.649931,4496590,60058.023766
317,1015,0.010498,-21,0.649018,4507819,60210.609338
318,1171,0.014031,-20,0.647964,4521147,60391.616018
319,1542,0.012886,-18,0.646576,4539136,60629.813941
320,1125,0.010445,-21,0.645564,4551210,60793.875945
321,1410,0.013537,-19,0.644295,4567611,61015.459738
322,1266,0.013688,-20,0.643155,4582652,61218.111984
323,1111,0.013041,-21,0.642155,4595430,61391.077361
324,1270,0.012231,-19,0.641012,4609054,61577.036268
325,1112,0.011645,-21,0.640012,4620717,61733.758008
326,1067,0.009976,-21,0.639051,4631923,61884.796265
327,1110,0.010826,-21,0.638052,4645140,62063.044199
328,1273,0.012628,-20,0.636907,4660602,62271.160408
329,1290,0.010110,-21,0.635746,4677289,62496.315848
330,1291,0.013349,-20,0.634584,4693114,62712.822960
331,1015,0.010991,-21,0.633670,4705519,62882.585062
332,1161,0.014514,-20,0.632625,4720091,63079.766623
333,1177,0.012221,-20,0.631566,4732521,63248.320723
334,1068,0.013678,-21,0.630605,4744937,63419.775219
335,1137,0.011180,-21,0.629582,4758070,63594.658310
336,1245,0.011515,-21,0.628461,4771651,63780.059654
337,1016,0.007425,-21,0.627547,4783702,63944.017640
338,1031,0.011324,-21,0.626619,4795097,64093.725823
339,1102,0.011033,-21,0.625627,4808207,64272.886475
340,1376,0.013096,-19,0.624389,4823997,64482.748460
341,1070,0.014323,-21,0.623426,4836235,64645.439567
342,1504,0.011706,-19,0.622072,4855071,64899.061005
343,1152,0.012565,-21,0.621035,4868599,65080.442189
344,1020,0.009872,-21,0.620117,4880376,65243.318784
345,1439,0.012941,-18,0.618822,4894582,65438.035837
346,1088,0.011551,-21,0.617843,4907331,65608.246120
347,1013,0.009109,-21,0.616931,4919563,65771.537588
348,1028,0.011288,-21,0.616006,4931276,65931.071620
349,1043,0.010856,-21,0.615067,4944276,66105.961284
350,1020,0.011923,-21,0.614149,4956087,66267.187404
351,1115,0.012768,-21,0.613146,4969403,66449.096459
352,1215,0.009889,-21,0.612052,4983106,66635.148274
353,1082,0.014253,-21,0.611078,4995133,66798.189791
354,1194,0.014032,-20,0.610004,5009636,66993.308551
355,1389,0.011198,-19,0.608754,5024277,67190.861198
356,1140,0.013244,-21,0.607728,5037284,67366.282600
357,1372,0.011907,-20,0.606493,5053626,67589.749642
358,1179,0.010957,-21,0.605432,5067889,67783.516394
359,1242,0.011149,-20,0.604314,5082552,67984.162341
360,1178,0.013423,-21,0.603254,5094989,68152.234735
361,1118,0.011476,-20,0.602248,5108035,68327.643224
362,1094,0.011970,-21,0.601263,5121338,68511.080995
363,1183,0.010429,-21,0.600198,5133774,68681.810275
364,1250,0.011390,-20,0.599073,5145894,68843.126244
365,1122,0.013849,-20,0.598064,5159017,69025.615826
366,1209,0.013506,-21,0.596975,5173440,69222.964814
367,1017,0.010242,-21,0.596060,5185881,69394.945198
368,1107,0.010394,-21,0.595064,5199287,69574.490317
369,1135,0.009525,-21,0.594042,5212944,69762.090585
370,1264,0.014870,-20,0.592905,5226458,69944.470676
371,1099,0.010927,-21,0.591916,5239012,70115.273160
372,1185,0.010507,-21,0.590849,5253811,70315.761949
373,1023,0.013729,-21,0.589928,5266058,70487.408637
374,1196,0.013416,-21,0.588852,5280486,70688.772991
375,1173,0.010927,-21,0.587796,5294963,70890.978254
376,1198,0.011489,-20,0.586718,5309397,71083.643551
377,1156,0.012639,-21,0.585678,5323200,71273.623362
378,1377,0.011253,-20,0.584438,5340421,71510.188332
379,1249,0.012762,-19,0.583314,5355420,71712.725787
380,1278,0.011798,-20,0.582164,5369549,71908.836566
381,1091,0.010321,-21,0.581182,5381224,72069.360109
382,1055,0.010245,-21,0.580233,5392830,72227.661701
383,1017,0.009743,-21,0.579317,5405361,72397.063350
384,1122,0.013422,-21,0.578308,5418389,72572.459424
