episode,num_iters,loss,sum_rewards,curr_eps,debug_param,time
304,1396,0.014368,-20,0.632279,4504418,60162.891206
305,1028,0.013490,-21,0.631262,4516710,60330.161607
306,1025,0.014547,-21,0.630247,4528377,60484.912094
307,1483,0.014091,-19,0.628779,4545155,60711.876800
308,1202,0.014205,-20,0.627589,4559477,60904.455638
309,1099,0.013431,-21,0.626501,4572942,61086.503365
310,1539,0.014423,-18,0.624977,4591023,61330.619965
311,1186,0.013755,-21,0.623803,4605407,61526.952151
312,1279,0.014255,-20,0.622537,4619213,61712.191272
313,1485,0.013526,-19,0.621067,4636667,61949.906895
314,1311,0.012826,-20,0.619769,4653258,62169.529307
315,1097,0.014632,-21,0.618683,4666637,62352.191694
316,1209,0.011995,-20,0.617486,4680108,62534.510675
317,1200,0.012477,-21,0.616298,4693676,62719.207552
318,1229,0.013332,-20,0.615081,4708917,62928.711455
319,1131,0.013417,-21,0.613961,4722307,63109.262577
320,1093,0.009939,-21,0.612879,4736275,63299.156433
321,1051,0.013579,-21,0.611839,4749103,63473.468489
322,1141,0.012508,-21,0.610709,4762437,63651.760972
323,1382,0.014871,-20,0.609341,4779246,63881.477592
324,1313,0.013253,-20,0.608041,4797310,64123.519353
325,1097,0.012678,-21,0.606955,4808304,64273.309653
326,1171,0.013538,-21,0.605796,4822786,64465.268191
327,1441,0.015715,-18,0.604369,4839425,64687.686547
328,1022,0.013455,-21,0.603357,4851887,64854.799565
329,1207,0.012300,-20,0.602163,4867601,65065.361063
330,1120,0.011771,-21,0.601054,4881938,65264.134714
331,1086,0.012585,-21,0.599979,4895311,65447.326424
332,1103,0.011701,-21,0.598887,4909355,65634.291042
333,1008,0.010477,-21,0.597889,4920785,65787.430756
334,1439,0.012914,-20,0.596464,4938998,66033.465900
335,1323,0.012114,-19,0.595154,4954132,66240.100381
336,1104,0.011799,-21,0.594061,4965925,66400.301057
337,1269,0.013979,-20,0.592805,4981626,66613.237106
338,1627,0.012962,-17,0.591194,5002053,66888.907582
339,1581,0.015818,-20,0.589629,5022346,67164.261761
340,1044,0.016103,-21,0.588596,5034317,67325.184090
341,1176,0.012301,-21,0.587431,5049829,67537.448063
342,1235,0.014893,-20,0.586209,5064449,67735.326374
343,1229,0.012151,-21,0.584992,5078113,67919.896925
344,1100,0.008223,-21,0.583903,5091516,68104.933163
345,1382,0.013322,-21,0.582535,5107343,68317.114647
346,1225,0.012501,-19,0.581322,5121078,68506.674037
347,1074,0.011247,-21,0.580259,5133755,68680.685290
348,1341,0.013095,-19,0.578931,5150040,68899.985468
349,1251,0.013392,-21,0.577693,5163368,69084.335151
350,1113,0.015325,-20,0.576591,5176589,69266.668363
351,1290,0.013946,-20,0.575314,5190941,69462.937201
352,1192,0.013861,-21,0.574134,5204015,69639.139233
353,1139,0.010900,-21,0.573006,5217334,69820.687190
354,1242,0.012636,-21,0.571776,5232554,70026.936752
355,1178,0.012183,-21,0.570610,5245604,70204.268251
356,1300,0.011656,-20,0.569323,5260160,70405.046634
357,1759,0.012416,-19,0.567582,5279026,70668.348352
358,1120,0.014089,-20,0.566473,5292146,70850.939455
359,1013,0.009762,-21,0.565470,5304139,71013.266226
360,1263,0.012995,-20,0.564220,5318633,71208.099735
361,1306,0.013288,-20,0.562927,5333326,71410.375223
362,1058,0.012275,-21,0.561879,5346192,71587.091250
363,1263,0.012265,-21,0.560629,5361366,71794.705819
364,1216,0.013702,-20,0.559425,5375609,71992.470315
365,1502,0.014322,-18,0.557938,5392060,72216.150220
366,1197,0.012252,-21,0.556753,5406245,72407.735347
367,1207,0.012053,-20,0.555558,5421317,72611.917430
368,1098,0.011712,-21,0.554471,5434958,72799.883724
369,1280,0.013538,-21,0.553204,5449362,72993.575118
370,1132,0.011632,-20,0.552083,5462000,73166.681990
371,1265,0.011026,-20,0.550831,5476994,73367.206217
372,1152,0.013398,-21,0.549691,5491558,73567.453146
373,1322,0.012028,-19,0.548382,5507279,73780.595392
374,1276,0.013439,-20,0.547119,5521740,73978.641682
375,1432,0.014362,-18,0.545701,5538263,74205.322052
376,1025,0.010308,-21,0.544686,5550219,74366.652521
377,1013,0.012706,-21,0.543683,5561709,74524.705967
378,1250,0.013293,-20,0.542446,5577329,74741.190318
379,1097,0.016741,-21,0.541360,5589220,74905.150619
380,1086,0.014298,-21,0.540285,5601115,75067.329642
381,1190,0.014930,-21,0.539106,5615333,75261.051510
382,1354,0.011751,-21,0.537766,5631727,75481.786835
383,1142,0.013527,-21,0.536635,5643917,75647.300944
